,Mean,Median,Std
model_checkpoint_bc_3500.pth,0.5079531112984291,0.5216845439728082,0.12730180150255277
model_checkpoint_bc_3600.pth,0.5097814570749313,0.5232885531703491,0.12621473580257356
model_checkpoint_bc_3700.pth,0.5075991881390846,0.5216852731484495,0.12650227080825216
model_checkpoint_bc_3800.pth,0.5061215717707285,0.5196824913765918,0.12659176939203617
model_checkpoint_bc_3900.pth,0.5093489465354313,0.5240585009114004,0.12656137633996922
model_checkpoint_bc_4000.pth,0.509767138945807,0.5242678580775362,0.12733554328305546
model_checkpoint_bc_4100.pth,0.5090645159760951,0.5226893509831357,0.12728485977321488
